accord_id_primary,accord_id_secondary,note_id,blended_pct
ACC-0167,ACC-0063,NOTE-0474,1.96525
ACC-0167,ACC-0063,NOTE-0476,2.094971
ACC-0167,ACC-0063,NOTE-0496,3.647836
ACC-0167,ACC-0063,NOTE-0497,5.75785
ACC-0167,ACC-0063,NOTE-0639,5.49815
ACC-0167,ACC-0063,NOTE-0651,8.0969
ACC-0167,ACC-0063,NOTE-0652,3.18185
ACC-0248,ACC-0153,NOTE-0021,15.402675
ACC-0248,ACC-0153,NOTE-0205,15.727784
ACC-0248,ACC-0153,NOTE-0319,3.21545
ACC-0248,ACC-0153,NOTE-0453,20.466791
ACC-0248,ACC-0153,NOTE-0454,9.580808
ACC-0248,ACC-0153,NOTE-0490,4.928
ACC-0248,ACC-0153,NOTE-0525,9.124518
ACC-0248,ACC-0153,NOTE-0549,5.7561
ACC-0248,ACC-0153,NOTE-0550,2.0097
ACC-0248,ACC-0153,NOTE-0586,13.788174
ACC-0167,ACC-0213,NOTE-0039,19.232742
ACC-0167,ACC-0213,NOTE-0187,5.718357
ACC-0167,ACC-0213,NOTE-0205,7.227972
ACC-0167,ACC-0213,NOTE-0399,3.188932
ACC-0167,ACC-0213,NOTE-0455,19.514695
ACC-0167,ACC-0213,NOTE-0456,26.413214
ACC-0167,ACC-0213,NOTE-0457,8.604136
ACC-0167,ACC-0213,NOTE-0465,4.357144
ACC-0167,ACC-0213,NOTE-0476,2.094971
ACC-0167,ACC-0213,NOTE-0496,3.647836
ACC-0280,ACC-0285,NOTE-0194,8.4588
ACC-0280,ACC-0285,NOTE-0204,7.6321
ACC-0280,ACC-0285,NOTE-0269,4.5024
ACC-0280,ACC-0285,NOTE-0407,1.8655
ACC-0280,ACC-0285,NOTE-0418,12.5412
ACC-0280,ACC-0285,NOTE-0420,22.4042
ACC-0280,ACC-0285,NOTE-0465,3.8896
ACC-0280,ACC-0285,NOTE-0484,16.5958
ACC-0280,ACC-0285,NOTE-0581,13.03965
ACC-0280,ACC-0285,NOTE-0627,9.07075
ACC-0138,ACC-0022,NOTE-0021,20.49515
ACC-0138,ACC-0022,NOTE-0205,11.6142
ACC-0138,ACC-0022,NOTE-0449,13.8867
ACC-0138,ACC-0022,NOTE-0465,3.34555
ACC-0138,ACC-0022,NOTE-0490,3.03555
ACC-0138,ACC-0022,NOTE-0491,1.11825
ACC-0138,ACC-0022,NOTE-0498,14.1505
ACC-0138,ACC-0022,NOTE-0526,1.7976
ACC-0138,ACC-0022,NOTE-0530,23.0195
ACC-0138,ACC-0022,NOTE-0537,5.5133
ACC-0138,ACC-0022,NOTE-0654,2.0237
ACC-0187,ACC-0251,NOTE-0021,3.31205
ACC-0187,ACC-0251,NOTE-0205,4.736597
ACC-0187,ACC-0251,NOTE-0284,4.76245
ACC-0187,ACC-0251,NOTE-0309,22.203572
ACC-0187,ACC-0251,NOTE-0395,16.311263
ACC-0187,ACC-0251,NOTE-0455,10.0541
ACC-0187,ACC-0251,NOTE-0456,4.02185
ACC-0187,ACC-0251,NOTE-0457,8.0682
ACC-0187,ACC-0251,NOTE-0465,4.352444
ACC-0187,ACC-0251,NOTE-0471,6.357714
ACC-0187,ACC-0251,NOTE-0573,11.03841
ACC-0187,ACC-0251,NOTE-0606,4.78135
ACC-0156,ACC-0066,NOTE-0205,3.54575
ACC-0156,ACC-0066,NOTE-0456,14.787138
ACC-0156,ACC-0066,NOTE-0457,5.6979
ACC-0156,ACC-0066,NOTE-0465,3.2578
ACC-0156,ACC-0066,NOTE-0484,3.210868
ACC-0156,ACC-0066,NOTE-0496,9.36195
ACC-0156,ACC-0066,NOTE-0524,21.920631
ACC-0156,ACC-0066,NOTE-0527,4.01341
ACC-0156,ACC-0066,NOTE-0550,29.54575
ACC-0156,ACC-0066,NOTE-0608,1.98308
ACC-0156,ACC-0066,NOTE-0643,2.675723
ACC-0292,ACC-0277,NOTE-0005,16.25
ACC-0292,ACC-0277,NOTE-0039,1.85885
