epoch,train_loss,val_micro_f1@0.5,val_macro_f1@0.5,val_macro_f1@0.5_active,val_micro_f1@top2,val_macro_f1@top2,val_macro_f1@top2_active,val_primary_top1,val_primary_top3,val_ndcg@2_vs_secondary,val_descriptor_recon_f1
1,11.25146945261022,0.06513761467889909,0.01321082747735644,0.020807053276836393,0.06037000973709834,0.015545388302651663,0.024483986576676366,0.02823018458197611,0.07926167209554831,0.060830608716308174,0.23404255319148937
2,6.6068241214412815,0.09642401021711366,0.03177686992343531,0.05004857012941061,0.0863356053229471,0.028692721565863465,0.04519103646623494,0.08034744842562432,0.20521172638436483,0.10704149353230114,0.8341143392689785
3,5.633530129741519,0.09214263174502998,0.03398361166023021,0.05352418836486257,0.07789678675754626,0.03193550816984871,0.050298425367511716,0.07057546145494029,0.19326818675352878,0.11286653950497325,0.8755287009063444
4,5.102389586777874,0.10129431626336523,0.03431702078012904,0.054049307728703255,0.09087958455047063,0.0317934483636709,0.05007468117278167,0.06297502714440825,0.19326818675352878,0.11080406646027514,0.908984145625367
5,4.634122559184282,0.09601396566773349,0.03547328433333928,0.05587042282500937,0.0798442064264849,0.02715565467306586,0.04277015611007872,0.06623235613463627,0.18675352877307275,0.1157022341730617,0.9051138043156961
6,4.31505134691123,0.09340044742729306,0.03260674162342776,0.05135561805689874,0.083089905874716,0.029265858185840623,0.04609372664269898,0.05211726384364821,0.19218241042345277,0.1077629475612026,0.924506387921022
7,4.018173869394323,0.0972411909314395,0.03634141050315648,0.05723772154247145,0.08698474521259332,0.031741070714690296,0.04999218637563722,0.05754614549402823,0.19218241042345277,0.12066120608165778,0.9263768115942029
8,3.729883431539841,0.10186400630086637,0.03974662998392875,0.06260094222468778,0.08373904576436222,0.03261844447595143,0.0513740500496235,0.05863192182410423,0.19326818675352878,0.12198085960087028,0.9340974212034384
9,3.627403780234666,0.09434940383618455,0.03531973664199289,0.05562858521113879,0.08698474521259332,0.03352903715404885,0.05280823351762694,0.05971769815418024,0.1965255157437568,0.12056835364097208,0.9272937103289094
10,3.477113929083339,0.09488272921108742,0.034437349931676686,0.0542388261423908,0.08698474521259332,0.033538210830290724,0.05282268205770789,0.05971769815418024,0.1986970684039088,0.1254862407033713,0.9311437626044368
