index,molecular_weight,boiling_point_c,logP,odor_threshold_mg_L,substantivity_index,tenacity_min_hrs,tenacity_max_hrs,flash_point_c
count,345.0,432.0,436.0,436.0,434.0,434.0,434.0,434.0
mean,180.042,255.363,3.358,0.012,56.512,11.857,14.281,105.2
std,45.535,47.561,1.116,0.048,28.428,12.737,12.564,32.088
min,94.11,121.0,0.0,0.0,5.0,0.5,1.0,25.0
25%,148.2,220.0,2.7,0.001,30.0,3.0,4.0,80.0
50%,164.2,277.5,3.2,0.01,55.0,6.0,10.0,110.0
75%,212.33,300.0,4.3,0.02,85.0,24.0,24.0,130.0
max,428.7,350.0,6.0,1.0,99.0,72.0,72.0,170.0
