target_accord_id_primary,target_accord_id_secondary,n
ACC-0248,ACC-0155,2
ACC-0075,ACC-0227,2
ACC-0075,ACC-0205,2
ACC-0206,ACC-0118,2
ACC-0206,ACC-0159,2
ACC-0112,ACC-0290,2
ACC-0248,ACC-0107,2
ACC-0112,ACC-0287,2
ACC-0112,ACC-0155,2
ACC-0118,ACC-0172,2
ACC-0170,ACC-0293,2
ACC-0118,ACC-0156,2
ACC-0007,ACC-0111,2
ACC-0118,ACC-0122,2
ACC-0172,ACC-0121,2
ACC-0130,ACC-0007,2
ACC-0118,ACC-0112,2
ACC-0171,ACC-0039,2
ACC-0172,ACC-0280,2
ACC-0170,ACC-0200,2
ACC-0210,ACC-0193,2
ACC-0287,ACC-0169,2
ACC-0295,ACC-0145,2
ACC-0170,ACC-0148,2
ACC-0174,ACC-0112,2
ACC-0295,ACC-0254,2
ACC-0295,ACC-0267,2
ACC-0170,ACC-0285,2
ACC-0034,ACC-0177,2
ACC-0295,ACC-0287,2
ACC-0214,ACC-0118,2
ACC-0170,ACC-0264,2
ACC-0286,ACC-0229,2
ACC-0118,ACC-0286,2
ACC-0227,ACC-0150,2
ACC-0127,ACC-0134,2
ACC-0007,ACC-0156,2
ACC-0022,ACC-0214,2
ACC-0002,ACC-0112,2
ACC-0214,ACC-0181,2
ACC-0171,ACC-0127,2
ACC-0222,ACC-0292,2
ACC-0007,ACC-0186,2
ACC-0295,ACC-0055,2
ACC-0171,ACC-0175,2
ACC-0291,ACC-0112,2
ACC-0122,ACC-0007,2
ACC-0295,ACC-0007,2
ACC-0022,ACC-0164,2
ACC-0007,ACC-0195,2
ACC-0122,ACC-0039,2
ACC-0212,ACC-0170,2
ACC-0022,ACC-0170,2
ACC-0212,ACC-0163,2
ACC-0128,ACC-0066,2
ACC-0171,ACC-0102,2
ACC-0022,ACC-0166,2
ACC-0118,ACC-0170,2
ACC-0288,ACC-0285,2
ACC-0039,ACC-0107,2
ACC-0163,ACC-0102,2
ACC-0292,ACC-0277,2
ACC-0050,ACC-0185,2
ACC-0285,ACC-0264,2
ACC-0236,ACC-0213,2
ACC-0170,ACC-0080,2
ACC-0170,ACC-0127,2
ACC-0130,ACC-0267,2
ACC-0239,ACC-0055,2
ACC-0170,ACC-0239,2
ACC-0170,ACC-0100,2
ACC-0170,ACC-0102,2
ACC-0127,ACC-0141,2
ACC-0167,ACC-0138,2
ACC-0293,ACC-0166,2
ACC-0050,ACC-0063,2
ACC-0293,ACC-0132,2
ACC-0002,ACC-0171,2
ACC-0123,ACC-0248,2
ACC-0177,ACC-0063,2
ACC-0131,ACC-0007,2
ACC-0007,ACC-0259,2
ACC-0285,ACC-0135,2
ACC-0161,ACC-0282,2
ACC-0170,ACC-0109,2
ACC-0177,ACC-0112,2
ACC-0293,ACC-0153,2
ACC-0293,ACC-0170,2
ACC-0007,ACC-0171,2
ACC-0286,ACC-0112,2
ACC-0130,ACC-0209,2
ACC-0221,ACC-0147,2
ACC-0170,ACC-0055,2
ACC-0170,ACC-0063,2
ACC-0130,ACC-0185,2
ACC-0293,ACC-0007,2
ACC-0209,ACC-0287,2
ACC-0214,ACC-0220,1
ACC-0202,ACC-0213,1
ACC-0204,ACC-0134,1
ACC-0205,ACC-0125,1
ACC-0202,ACC-0170,1
ACC-0214,ACC-0131,1
ACC-0202,ACC-0141,1
ACC-0214,ACC-0095,1
ACC-0204,ACC-0275,1
ACC-0204,ACC-0212,1
ACC-0204,ACC-0263,1
ACC-0204,ACC-0248,1
ACC-0202,ACC-0121,1
ACC-0202,ACC-0163,1
ACC-0204,ACC-0277,1
ACC-0205,ACC-0033,1
ACC-0214,ACC-0168,1
ACC-0202,ACC-0280,1
ACC-0205,ACC-0002,1
ACC-0214,ACC-0159,1
ACC-0205,ACC-0055,1
ACC-0205,ACC-0094,1
ACC-0202,ACC-0281,1
ACC-0214,ACC-0111,1
ACC-0202,ACC-0278,1
ACC-0204,ACC-0291,1
ACC-0202,ACC-0283,1
ACC-0202,ACC-0287,1
ACC-0202,ACC-0293,1
ACC-0202,ACC-0308,1
ACC-0204,ACC-0295,1
ACC-0202,ACC-0262,1
ACC-0205,ACC-0109,1
ACC-0214,ACC-0166,1
ACC-0209,ACC-0155,1
ACC-0202,ACC-0058,1
ACC-0197,ACC-0139,1
ACC-0218,ACC-0149,1
ACC-0199,ACC-0111,1
ACC-0219,ACC-0002,1
ACC-0199,ACC-0097,1
ACC-0219,ACC-0092,1
ACC-0219,ACC-0118,1
ACC-0199,ACC-0028,1
ACC-0197,ACC-0281,1
ACC-0219,ACC-0157,1
ACC-0197,ACC-0204,1
ACC-0197,ACC-0188,1
ACC-0197,ACC-0150,1
ACC-0197,ACC-0148,1
ACC-0197,ACC-0142,1
ACC-0197,ACC-0102,1
ACC-0217,ACC-0212,1
ACC-0197,ACC-0082,1
ACC-0197,ACC-0063,1
ACC-0196,ACC-0278,1
ACC-0196,ACC-0219,1
ACC-0196,ACC-0187,1
ACC-0196,ACC-0184,1
ACC-0196,ACC-0179,1
ACC-0220,ACC-0112,1
ACC-0196,ACC-0170,1
ACC-0220,ACC-0246,1
ACC-0196,ACC-0161,1
ACC-0220,ACC-0281,1
ACC-0196,ACC-0122,1
ACC-0196,ACC-0094,1
ACC-0218,ACC-0055,1
ACC-0217,ACC-0138,1
ACC-0200,ACC-0287,1
ACC-0199,ACC-0293,1
ACC-0200,ACC-0285,1
ACC-0200,ACC-0275,1
ACC-0200,ACC-0250,1
ACC-0214,ACC-0221,1
ACC-0200,ACC-0239,1
ACC-0200,ACC-0236,1
ACC-0200,ACC-0171,1
ACC-0214,ACC-0292,1
ACC-0200,ACC-0158,1
ACC-0214,ACC-0299,1
ACC-0200,ACC-0138,1
ACC-0200,ACC-0134,1
ACC-0200,ACC-0104,1
ACC-0215,ACC-0160,1
ACC-0199,ACC-0288,1
ACC-0199,ACC-0114,1
ACC-0205,ACC-0163,1
ACC-0199,ACC-0244,1
ACC-0215,ACC-0185,1
ACC-0199,ACC-0207,1
ACC-0216,ACC-0066,1
ACC-0199,ACC-0193,1
ACC-0199,ACC-0170,1
ACC-0216,ACC-0120,1
ACC-0216,ACC-0147,1
ACC-0199,ACC-0161,1
ACC-0199,ACC-0156,1
ACC-0199,ACC-0129,1
ACC-0217,ACC-0080,1
ACC-0217,ACC-0112,1
ACC-0205,ACC-0138,1
ACC-0213,ACC-0217,1
ACC-0205,ACC-0166,1
ACC-0207,ACC-0131,1
ACC-0207,ACC-0159,1
ACC-0207,ACC-0150,1
ACC-0209,ACC-0288,1
ACC-0209,ACC-0295,1
ACC-0210,ACC-0104,1
ACC-0196,ACC-0034,1
ACC-0210,ACC-0118,1
ACC-0210,ACC-0124,1
ACC-0210,ACC-0127,1
ACC-0210,ACC-0155,1
ACC-0210,ACC-0174,1
ACC-0210,ACC-0213,1
ACC-0207,ACC-0139,1
ACC-0207,ACC-0132,1
ACC-0210,ACC-0281,1
ACC-0207,ACC-0174,1
ACC-0212,ACC-0062,1
ACC-0212,ACC-0063,1
ACC-0212,ACC-0066,1
ACC-0212,ACC-0082,1
ACC-0212,ACC-0100,1
ACC-0212,ACC-0104,1
ACC-0207,ACC-0130,1
ACC-0212,ACC-0108,1
ACC-0207,ACC-0129,1
ACC-0212,ACC-0112,1
ACC-0212,ACC-0122,1
ACC-0207,ACC-0125,1
ACC-0212,ACC-0127,1
ACC-0212,ACC-0129,1
ACC-0207,ACC-0171,1
ACC-0207,ACC-0190,1
ACC-0214,ACC-0031,1
ACC-0209,ACC-0222,1
ACC-0209,ACC-0170,1
ACC-0209,ACC-0177,1
ACC-0209,ACC-0194,1
ACC-0209,ACC-0139,1
ACC-0209,ACC-0131,1
ACC-0209,ACC-0130,1
ACC-0209,ACC-0127,1
ACC-0209,ACC-0196,1
ACC-0209,ACC-0197,1
ACC-0209,ACC-0112,1
ACC-0209,ACC-0066,1
ACC-0209,ACC-0062,1
ACC-0209,ACC-0204,1
ACC-0209,ACC-0207,1
ACC-0207,ACC-0289,1
ACC-0207,ACC-0193,1
ACC-0209,ACC-0229,1
ACC-0207,ACC-0284,1
ACC-0207,ACC-0283,1
ACC-0209,ACC-0239,1
ACC-0209,ACC-0247,1
ACC-0207,ACC-0258,1
ACC-0209,ACC-0254,1
ACC-0209,ACC-0258,1
ACC-0207,ACC-0257,1
ACC-0207,ACC-0254,1
ACC-0209,ACC-0277,1
ACC-0209,ACC-0278,1
ACC-0207,ACC-0213,1
ACC-0207,ACC-0194,1
ACC-0207,ACC-0111,1
ACC-0212,ACC-0161,1
ACC-0212,ACC-0166,1
ACC-0206,ACC-0008,1
ACC-0206,ACC-0121,1
ACC-0206,ACC-0114,1
ACC-0206,ACC-0112,1
ACC-0213,ACC-0164,1
ACC-0206,ACC-0096,1
ACC-0213,ACC-0170,1
ACC-0213,ACC-0181,1
ACC-0213,ACC-0183,1
ACC-0206,ACC-0075,1
ACC-0213,ACC-0205,1
ACC-0206,ACC-0066,1
ACC-0213,ACC-0209,1
ACC-0209,ACC-0146,1
ACC-0206,ACC-0051,1
ACC-0213,ACC-0232,1
ACC-0207,ACC-0107,1
ACC-0206,ACC-0004,1
ACC-0206,ACC-0002,1
ACC-0213,ACC-0236,1
ACC-0205,ACC-0264,1
ACC-0213,ACC-0245,1
ACC-0213,ACC-0249,1
ACC-0205,ACC-0249,1
ACC-0205,ACC-0239,1
ACC-0205,ACC-0200,1
ACC-0213,ACC-0277,1
ACC-0205,ACC-0190,1
ACC-0213,ACC-0284,1
ACC-0205,ACC-0183,1
ACC-0205,ACC-0170,1
ACC-0206,ACC-0124,1
ACC-0206,ACC-0131,1
ACC-0213,ACC-0131,1
ACC-0206,ACC-0168,1
ACC-0212,ACC-0171,1
ACC-0207,ACC-0105,1
ACC-0212,ACC-0187,1
ACC-0212,ACC-0249,1
ACC-0207,ACC-0102,1
ACC-0212,ACC-0253,1
ACC-0212,ACC-0256,1
ACC-0207,ACC-0066,1
ACC-0212,ACC-0265,1
ACC-0212,ACC-0279,1
ACC-0207,ACC-0039,1
ACC-0207,ACC-0033,1
ACC-0207,ACC-0023,1
ACC-0212,ACC-0294,1
ACC-0207,ACC-0007,1
ACC-0213,ACC-0004,1
ACC-0213,ACC-0034,1
ACC-0206,ACC-0286,1
ACC-0213,ACC-0063,1
ACC-0213,ACC-0104,1
ACC-0206,ACC-0283,1
ACC-0206,ACC-0248,1
ACC-0206,ACC-0218,1
ACC-0213,ACC-0118,1
ACC-0206,ACC-0204,1
ACC-0213,ACC-0125,1
ACC-0206,ACC-0197,1
ACC-0206,ACC-0194,1
ACC-0206,ACC-0171,1
ACC-0196,ACC-0062,1
ACC-0190,ACC-0175,1
ACC-0195,ACC-0288,1
ACC-0177,ACC-0157,1
ACC-0174,ACC-0253,1
ACC-0174,ACC-0293,1
ACC-0175,ACC-0007,1
ACC-0175,ACC-0033,1
ACC-0175,ACC-0102,1
ACC-0175,ACC-0104,1
ACC-0175,ACC-0112,1
ACC-0175,ACC-0118,1
ACC-0175,ACC-0143,1
ACC-0175,ACC-0170,1
ACC-0175,ACC-0202,1
ACC-0175,ACC-0252,1
ACC-0177,ACC-0059,1
ACC-0177,ACC-0082,1
ACC-0177,ACC-0106,1
ACC-0177,ACC-0109,1
ACC-0177,ACC-0128,1
ACC-0177,ACC-0131,1
ACC-0177,ACC-0147,1
ACC-0174,ACC-0229,1
ACC-0174,ACC-0215,1
ACC-0174,ACC-0212,1
ACC-0174,ACC-0066,1
ACC-0172,ACC-0171,1
ACC-0172,ACC-0182,1
ACC-0172,ACC-0212,1
ACC-0172,ACC-0245,1
ACC-0172,ACC-0248,1
ACC-0172,ACC-0284,1
ACC-0174,ACC-0007,1
ACC-0174,ACC-0055,1
ACC-0174,ACC-0116,1
ACC-0174,ACC-0202,1
ACC-0174,ACC-0118,1
ACC-0174,ACC-0130,1
ACC-0174,ACC-0142,1
ACC-0174,ACC-0157,1
ACC-0174,ACC-0161,1
ACC-0174,ACC-0167,1
ACC-0174,ACC-0170,1
ACC-0174,ACC-0191,1
ACC-0177,ACC-0154,1
ACC-0177,ACC-0164,1
ACC-0195,ACC-0276,1
ACC-0177,ACC-0166,1
ACC-0178,ACC-0281,1
ACC-0179,ACC-0127,1
ACC-0179,ACC-0172,1
ACC-0179,ACC-0197,1
ACC-0179,ACC-0213,1
ACC-0179,ACC-0216,1
ACC-0179,ACC-0220,1
ACC-0179,ACC-0248,1
ACC-0179,ACC-0249,1
ACC-0179,ACC-0250,1
ACC-0179,ACC-0258,1
ACC-0179,ACC-0267,1
ACC-0179,ACC-0292,1
ACC-0180,ACC-0007,1
ACC-0180,ACC-0055,1
ACC-0180,ACC-0082,1
ACC-0180,ACC-0107,1
ACC-0180,ACC-0161,1
ACC-0180,ACC-0166,1
ACC-0178,ACC-0233,1
ACC-0178,ACC-0185,1
ACC-0178,ACC-0165,1
ACC-0177,ACC-0252,1
ACC-0177,ACC-0170,1
ACC-0177,ACC-0179,1
ACC-0177,ACC-0181,1
ACC-0177,ACC-0183,1
ACC-0177,ACC-0185,1
ACC-0177,ACC-0191,1
ACC-0177,ACC-0202,1
ACC-0177,ACC-0245,1
ACC-0177,ACC-0293,1
ACC-0178,ACC-0145,1
ACC-0177,ACC-0295,1
ACC-0178,ACC-0022,1
ACC-0178,ACC-0055,1
ACC-0178,ACC-0068,1
ACC-0178,ACC-0094,1
ACC-0178,ACC-0102,1
ACC-0178,ACC-0104,1
ACC-0178,ACC-0118,1
ACC-0172,ACC-0170,1
ACC-0172,ACC-0112,1
ACC-0172,ACC-0107,1
ACC-0172,ACC-0063,1
ACC-0170,ACC-0172,1
ACC-0170,ACC-0174,1
ACC-0170,ACC-0175,1
ACC-0170,ACC-0177,1
ACC-0170,ACC-0178,1
ACC-0170,ACC-0179,1
ACC-0170,ACC-0181,1
ACC-0170,ACC-0183,1
ACC-0170,ACC-0185,1
ACC-0170,ACC-0192,1
ACC-0170,ACC-0195,1
ACC-0170,ACC-0197,1
ACC-0170,ACC-0202,1
ACC-0170,ACC-0204,1
ACC-0170,ACC-0206,1
ACC-0170,ACC-0213,1
ACC-0170,ACC-0215,1
ACC-0170,ACC-0219,1
ACC-0170,ACC-0233,1
ACC-0170,ACC-0171,1
ACC-0170,ACC-0167,1
ACC-0170,ACC-0166,1
ACC-0170,ACC-0140,1
ACC-0170,ACC-0121,1
ACC-0170,ACC-0123,1
ACC-0170,ACC-0124,1
ACC-0170,ACC-0125,1
ACC-0170,ACC-0128,1
ACC-0170,ACC-0132,1
ACC-0170,ACC-0135,1
ACC-0170,ACC-0138,1
ACC-0170,ACC-0146,1
ACC-0170,ACC-0164,1
ACC-0170,ACC-0150,1
ACC-0170,ACC-0151,1
ACC-0170,ACC-0152,1
ACC-0170,ACC-0155,1
ACC-0170,ACC-0156,1
ACC-0170,ACC-0157,1
ACC-0170,ACC-0160,1
ACC-0170,ACC-0163,1
ACC-0170,ACC-0246,1
ACC-0170,ACC-0247,1
ACC-0170,ACC-0250,1
ACC-0171,ACC-0257,1
ACC-0171,ACC-0185,1
ACC-0171,ACC-0187,1
ACC-0171,ACC-0196,1
ACC-0171,ACC-0209,1
ACC-0171,ACC-0229,1
ACC-0171,ACC-0236,1
ACC-0171,ACC-0249,1
ACC-0171,ACC-0256,1
ACC-0171,ACC-0258,1
ACC-0171,ACC-0174,1
ACC-0171,ACC-0288,1
ACC-0172,ACC-0002,1
ACC-0172,ACC-0007,1
ACC-0172,ACC-0032,1
ACC-0172,ACC-0033,1
ACC-0172,ACC-0034,1
ACC-0172,ACC-0051,1
ACC-0172,ACC-0058,1
ACC-0171,ACC-0178,1
ACC-0171,ACC-0170,1
ACC-0170,ACC-0253,1
ACC-0171,ACC-0063,1
ACC-0170,ACC-0254,1
ACC-0170,ACC-0265,1
ACC-0170,ACC-0279,1
ACC-0171,ACC-0007,1
ACC-0171,ACC-0008,1
ACC-0171,ACC-0022,1
ACC-0171,ACC-0034,1
